Time,Vhcl.sRoad,Car.tx,Car.ty,Car.v,Car.YawRate,Car.SideSlipAngle,Car.ax,Car.ay,DM.Steer.Ang,Steer.WhlAng,DM.Brake,DM.Gas,Car.muRoadFL,Car.muRoadFR,Car.muRoadRL,Car.muRoadRR
0.0,8.399996983999952,7.408852577209473,0.019406098872423172,0.0,-4.5135806203688844e-10,0.0,9.080081508727744e-05,7.586744231957709e-06,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.20000000000000015,8.399996379120072,7.408852577209473,0.019406868144869804,1.2816503840440419e-05,-4.1984967538155615e-06,0.0,-4.990383786207531e-07,-1.1459197594376747e-05,6.543678495113739e-14,6.543678495113739e-14,0.0,0.0,1.0,1.0,1.0,1.0
0.4000000000000003,8.400004208832637,7.408851623535156,0.019407667219638824,2.2034144421922974e-05,5.5192227677025585e-08,0.0,-0.00013680475240107626,-7.441472916980274e-06,8.687983736295826e-14,8.687983736295826e-14,0.0,0.06787516176700592,1.0,1.0,1.0,1.0
0.6000000000000004,8.400045075989322,7.408845901489258,0.01940811611711979,0.0001237626711372286,4.3204468056501355e-06,0.0,-0.00014436736819334328,-3.5902555737266084e-06,1.7451490285421561e-13,1.7451490285421561e-13,0.0,0.15427622199058533,1.0,1.0,1.0,1.0
0.8000000000000006,8.400088313700666,7.4088358879089355,0.01940826326608658,0.00016474614676553756,2.828674269039766e-06,0.0,2.3558084649266675e-05,-1.4906212300047628e-06,2.0590735334228422e-13,2.0590735334228422e-13,0.0,0.20716646313667297,1.0,1.0,1.0,1.0
1.0000000000000007,8.4001031928879,7.408825874328613,0.019408417865633965,8.65506153786555e-05,6.982371303365653e-08,0.0,0.00010536257468629628,6.923202704456344e-07,2.0844877744469886e-13,2.0844877744469886e-13,0.0,0.21252869069576263,1.0,1.0,1.0,1.0
1.1999999999999786,8.400078488137073,7.408820629119873,0.019408555701375008,9.428257180843502e-05,1.0584518577161361e-06,0.0,0.00021517471759580076,-3.365094744367525e-05,2.08631058934948e-13,2.08631058934948e-13,0.0,0.16020847856998444,1.0,1.0,1.0,1.0
1.3999999999999566,8.401227511352168,7.409715175628662,0.019406192004680634,0.029461797326803207,6.621766078751534e-05,0.0,0.43602219223976135,-0.0010364638874307275,1.2093695185913522e-13,1.2093695185913522e-13,0.0,0.11949857324361801,1.0,1.0,1.0,1.0
1.5999999999999346,8.421864429681566,7.42793607711792,0.019391026347875595,0.19771194458007812,5.074094588053413e-05,0.0,1.4281624555587769,2.4529446818633005e-05,-6.90804640157694e-08,-6.90804640157694e-08,0.0,0.30854788422584534,1.0,1.0,1.0,1.0
1.7999999999999126,8.497988116213744,7.500358581542969,0.019387638196349144,0.5388491153717041,6.092875628382899e-05,0.0,1.8773633241653442,0.0004645095905289054,-1.7572252545505762e-05,-1.7572252545505762e-05,0.0,0.3714885413646698,1.0,1.0,1.0,1.0
1.9999999999998905,8.646554181063959,7.646731853485107,0.019403327256441116,0.9263498783111572,0.00011080329568358138,0.0,1.9757740497589111,-0.0009391223429702222,-8.65848851390183e-05,-8.65848851390183e-05,0.0,0.38598376512527466,1.0,1.0,1.0,1.0
2.1999999999998687,8.872909871794194,7.871913433074951,0.01939319260418415,1.324280023574829,0.0001559164229547605,-9.932143439073116e-05,1.9973759651184082,0.000535156112164259,-0.00039694749284535646,-0.00039694749284535646,0.0,0.38861751556396484,1.0,1.0,1.0,1.0
2.3999999999998467,9.178673935603683,8.176941871643066,0.019391290843486786,1.7240054607391357,9.993956336984411e-05,-0.00011910461034858599,1.9972442388534546,-0.0008303989889100194,-0.0025361659936606884,-0.0025361659936606884,0.0,0.3889908194541931,1.0,1.0,1.0,1.0
2.5999999999998247,9.564073587230888,8.561847686767578,0.019365711137652397,2.122699737548828,3.770709372474812e-05,-0.00022124795941635966,1.986128330230713,-0.001154729281552136,-0.003990004304796457,-0.003990004304796457,0.0,0.3901454210281372,1.0,1.0,1.0,1.0
2.7999999999998026,10.028811305456054,9.026213645935059,0.019301103428006172,2.5182013511657715,-3.1712232157588005e-05,-0.0002735978050623089,1.9562828540802002,-0.0005483382847160101,-0.004854060709476471,-0.004854060709476471,0.0,0.39418134093284607,1.0,1.0,1.0,1.0
2.9999999999997806,10.571863392610034,9.568990707397461,0.019221236929297447,2.9069793224334717,1.0918767657130957e-05,-0.00024659940390847623,1.9363346099853516,-7.961577648529783e-05,-0.004239615984261036,-0.004239615984261036,0.0,0.4048001170158386,1.0,1.0,1.0,1.0
3.1999999999997586,11.192370840276787,10.189210891723633,0.019144371151924133,3.290931463241577,1.685704046394676e-05,-0.0002302608045283705,1.8921668529510498,-0.0004607315640896559,-0.004077343735843897,-0.004077343735843897,0.0,0.41982367634773254,1.0,1.0,1.0,1.0
3.3999999999997366,11.887486691110318,10.884285926818848,0.01906716264784336,3.655588388442993,3.0565104680135846e-05,-0.00022646383149549365,1.820469856262207,-0.00015557619917672127,-0.003825799096375704,-0.003825799096375704,0.0,0.45358315110206604,1.0,1.0,1.0,1.0
3.5999999999997145,12.656654195913324,11.653007507324219,0.018989527598023415,4.032989501953125,6.241577648324892e-05,-0.00022098167391959578,1.8970845937728882,-0.0002978035481646657,-0.0038801454938948154,-0.0038801454938948154,0.0,0.47775086760520935,1.0,1.0,1.0,1.0
3.7999999999996925,13.502571707110892,12.498294830322266,0.01891498453915119,4.420368194580078,7.821431063348427e-05,-0.00022617928334511817,1.968990683555603,-0.0001474930322729051,-0.0037993942387402058,-0.0037993942387402058,0.0,0.4916336238384247,1.0,1.0,1.0,1.0
