Time,Vhcl.sRoad,Vhcl.tRoad,Vhcl.YawRate,Car.Road.Path.DevAng,Car.Road.Path.DevDist,Car.Road.Route.DevAng,Car.Road.Route.DevDist,Car.tx,Car.ty,Car.v,Car.YawRate,Car.SideSlipAngle,Car.ax,Car.ay,DM.Steer.Ang,DM.Steer.AngVel,DM.Steer.AngAcc,Steer.WhlAng,Driver.Lat.dy,DM.Brake,DM.Gas,Car.muRoadFL,Car.muRoadFR,Car.muRoadRL,Car.muRoadRR
0.0,8.399996983999952,-1.2396972337569423e-11,1.682833039584608e-11,0.0,-1.2396972337569423e-11,0.0,-1.2396972337569423e-11,7.408852577209473,0.019406098872423172,0.0,1.682833039584608e-11,0.0,7.643018034286797e-05,-1.2088652511010878e-05,0.0,0.0,0.0,0.0,0.001293887384235859,0.0,0.0,0.5,0.5,0.5,0.5
0.1,8.399996884144496,-1.0723237409138164e-07,-4.97761391216045e-07,-2.2765499707588788e-08,-1.0723237409138164e-07,-2.2765499707588788e-08,-1.0723237409138164e-07,7.408852577209473,0.019406277686357498,5.9897715800616425e-06,-4.97761391216045e-07,0.0,1.99578039428161e-06,1.0321889021724928e-05,2.567522881585446e-15,4.7658562887147385e-15,-7.379802064583219e-13,2.567522881585446e-15,0.0012940558372065425,9.767401110138962e-09,0.0,0.5,0.5,0.5,0.5
0.2,8.399996682913352,-2.512462913273339e-07,-6.026759251653857e-07,-8.33013729106824e-08,-2.512462913273339e-07,-8.33013729106824e-08,-2.512462913273339e-07,7.408852577209473,0.019406633451581,7.264346550073242e-06,-6.026759251653857e-07,0.0,-2.621404746605549e-07,-2.262946145492606e-05,5.284097727382758e-15,1.7151200842587325e-14,-2.2533518562357913e-13,5.284097727382758e-15,0.001294409390538931,0.0,0.0,0.5,0.5,0.5,0.5
0.3,8.399997243299056,-3.2519017167942366e-07,-1.0357800874771783e-06,-1.4123487801498413e-07,-3.2519017167942366e-07,-1.4123487801498413e-07,-3.2519017167942366e-07,7.408852577209473,0.019406814128160477,3.669234274639166e-06,-1.0357800874771783e-06,0.0,-6.662857049377635e-05,-1.1671855645545293e-05,5.1332657234322374e-15,-1.3766101431521294e-13,-9.158861819999475e-13,5.1332657234322374e-15,0.0012945991475135088,0.0,0.023932073265314102,0.5,0.5,0.5,0.5
0.4,8.40000466814406,-1.2906291146919102e-07,-2.0947439338669938e-07,-2.2542367617006676e-07,-1.2906291146919102e-07,-2.2542367617006676e-07,-1.2906291146919102e-07,7.408851623535156,0.019406942650675774,2.2963502487982623e-05,-2.0947439338669938e-07,0.0,-0.00013709324412047863,-8.106743734970223e-06,2.721027062726317e-15,1.0200958730065962e-13,3.101720052675616e-12,2.721027062726317e-15,0.0012947567738592625,0.0,0.06787516176700592,0.5,0.5,0.5,0.5
0.5,8.400021834386177,4.203777947964227e-08,1.6935587154875975e-06,-1.2728544618312299e-07,4.203777947964227e-08,-1.2728544618312299e-07,4.203777947964227e-08,7.408849716186523,0.0194070003926754,6.89348453306593e-05,1.6935587154875975e-06,0.0,-0.0001632889616303146,-1.0974729320878396e-06,3.268707597344281e-14,2.3019796789244817e-13,5.298814338694502e-12,3.268707597344281e-14,0.001294790650717914,0.0,0.11369037628173828,0.5,0.5,0.5,0.5
0.6,8.400045530811408,2.1649793779943138e-07,1.6015233086363878e-06,4.142941278928447e-08,2.1649793779943138e-07,4.142941278928447e-08,2.1649793779943138e-07,7.408845901489258,0.019407082349061966,0.0001235998934134841,1.6015233086363878e-06,0.0,-0.00014618375280406326,4.737016297440277e-06,5.083622392943084e-14,1.2412961554898044e-13,-8.831320548984001e-13,5.083622392943084e-14,0.0012948208022862673,0.0,0.15427620708942413,0.5,0.5,0.5,0.5
0.7000000000000001,8.400069629791172,3.6861467833659844e-07,1.4431481076826458e-06,1.9280003016319824e-07,3.6861467833659844e-07,1.9280003016319824e-07,3.6861467833659844e-07,7.408841133117676,0.01940721645951271,0.00016120383224915713,1.4431481076826458e-06,0.0,-5.703683928004466e-05,1.7250168866667082e-06,5.973674788335714e-14,6.03111785231307e-14,-4.902301980157231e-13,5.973674788335714e-14,0.0012949072988703847,0.0,0.1860235333442688,0.5,0.5,0.5,0.5
0.8,8.400088671380285,5.409667096500925e-07,1.321500576523249e-06,3.314879677418503e-07,5.409667096500925e-07,3.314879677418503e-07,5.409667096500925e-07,7.408835411071777,0.019407371059060097,0.0001646980963414535,1.321500576523249e-06,0.0,2.2294954760582186e-05,-3.1661049888498383e-06,6.372037771561201e-14,2.3540909076680966e-14,-2.587184752458199e-13,6.372037771561201e-14,0.0012950189411640167,0.0,0.20716644823551178,0.5,0.5,0.5,0.5
0.9,8.400100314890505,7.287984544745996e-07,1.0897585980274016e-06,4.520545360264805e-07,7.287984544745996e-07,4.520545360264805e-07,7.287984544745996e-07,7.408830165863037,0.019407497718930244,0.0001359655288979411,1.0897585980274016e-06,0.0,7.033723522908986e-05,-8.866686584951822e-06,6.505746326856618e-14,7.358098979832854e-15,3.068533925218442e-13,6.505746326856618e-14,0.0012951086973771453,0.0,0.2168833166360855,0.5,0.5,0.5,0.5
