Time,s,t,t_ref,e_t,devang,psi_ref,e_psi,yawrate,v,delta_cmd_logged,applied_delta_cmd,applied_delta_rate,steer_manual
0.01,8.39999698399995,-1.77154131689282e-09,4.72016185363139e-06,-4.72193339494828e-06,2.02874483046421e-10,2.23416278708452e-05,-2.23414249963622e-05,5.15199626034347e-08,1.95488300822943e-07,9.03615874425898e-06,9.03615874425898e-06,0.000150067800866288,-2.08041033818885e-16
0.011,8.39999698399995,-2.25361386652903e-09,4.72016185363139e-06,-4.72241546749792e-06,2.54394445649855e-10,2.23416278708452e-05,-2.23413734763996e-05,6.33835302267761e-08,1.93526984196997e-07,9.18622654512526e-06,9.18622654512526e-06,0.000150067800866286,-2.64774378380922e-16
0.012,8.39999698399995,-2.79581398879365e-09,4.72016185363139e-06,-4.72295766762018e-06,3.17777975876631e-10,2.23416278708452e-05,-2.23413100928694e-05,7.80237596067633e-08,2.04436779421088e-07,9.33629434599155e-06,9.33629434599155e-06,0.000150067800866287,-3.29079591841201e-16
0.013,8.39999698399995,-3.38190397275324e-09,4.72016185363139e-06,-4.72354375760414e-06,3.95801735483395e-10,2.23416278708452e-05,-2.23412320691097e-05,9.76984647146046e-08,2.32716353413217e-07,9.48636214685784e-06,9.48636214685784e-06,0.000150067800866287,-4.00243049770371e-16
0.014,8.39999698399995,-3.97949389340231e-09,4.72016185363139e-06,-4.72414134752479e-06,4.93500200197999e-10,2.23416278708452e-05,-2.2341134370645e-05,1.15466522602525e-07,2.77113627360388e-07,9.63642994772412e-06,9.63642994772412e-06,0.000150067800866286,-4.76683044741204e-16
0.015,8.39999698399995,-4.55762591444314e-09,4.72016185363139e-06,-4.72471947954583e-06,6.08966722800524e-10,2.23416278708452e-05,-2.23410189041224e-05,1.16290645649747e-07,3.28993381371009e-07,9.78649774859041e-06,9.78649774859041e-06,0.000150067800866288,-5.54630324922488e-16
0.016,8.39999698399995,-5.13238776191959e-09,4.72016185363139e-06,-4.72529424139331e-06,7.25257368450271e-10,2.23416278708452e-05,-2.23409026134768e-05,9.78237021152947e-08,3.83811305889353e-07,9.9365655494567e-06,9.9365655494567e-06,0.000150067800866287,-6.28230154347331e-16
0.017,8.39999698399995,-5.80702235511603e-09,4.72016185363139e-06,-4.7259688759865e-06,8.23081070565565e-10,2.23416278708452e-05,-2.23408047897747e-05,8.00097580568657e-08,4.32242682044903e-07,1.0086633350323e-05,1.0086633350323e-05,0.000150067800866287,-6.92995040192952e-16
0.018,8.39999698399995,-6.60656571661334e-09,4.72016185363139e-06,-4.726768419348e-06,9.03090828622431e-10,2.23416278708452e-05,-2.23407247800166e-05,6.16210533359653e-08,4.76521094517476e-07,1.02367011511893e-05,1.02367011511893e-05,0.000150067800866286,-7.46943355525942e-16
0.019,8.39999698399995,-7.54358198930511e-09,4.72016185363139e-06,-4.72770543562069e-06,9.64711881958396e-10,2.23416278708452e-05,-2.23406631589633e-05,4.05731397509288e-08,5.20538525899865e-07,1.03867689520556e-05,1.03867689520556e-05,0.000150067800866286,-7.87291838327529e-16
