s_ref,t_ref,psi_ref,delta_ff
64.500000,0.000787158,0.000289236,-0.004393669
65.000000,0.000804885,0.000288395,-0.004368553
65.500000,0.000822466,0.000287284,-0.004336462
66.000000,0.000840046,0.000286173,-0.004304370
66.500000,0.000857627,0.000285062,-0.004272279
67.000000,0.000875208,0.000283951,-0.004240188
67.500000,0.000892733,0.000282726,-0.004206670
68.000000,0.000909345,0.000279617,-0.004149728
68.500000,0.000925957,0.000276508,-0.004092785
69.000000,0.000942569,0.000273399,-0.004035842
69.500000,0.000959181,0.000270290,-0.003978899
70.000000,0.000975794,0.000267181,-0.003921956
70.500000,0.000992158,0.000263791,-0.003862950
71.000000,0.001007445,0.000259186,-0.003794985
71.500000,0.001022732,0.000254581,-0.003727021
72.000000,0.001038019,0.000249975,-0.003659057
72.500000,0.001053305,0.000245370,-0.003591093
73.000000,0.001068592,0.000240764,-0.003523129
73.500000,0.001083633,0.000236061,-0.003454596
74.000000,0.001097643,0.000230947,-0.003383679
74.500000,0.001111653,0.000225833,-0.003312762
75.000000,0.001125663,0.000220718,-0.003241845
75.500000,0.001139672,0.000215604,-0.003170928
76.000000,0.001153682,0.000210490,-0.003100011
76.500000,0.001167536,0.000205382,-0.003029761
77.000000,0.001179899,0.000200333,-0.002965903
77.500000,0.001192261,0.000195284,-0.002902044
78.000000,0.001204623,0.000190235,-0.002838186
78.500000,0.001216985,0.000185187,-0.002774327
79.000000,0.001229347,0.000180138,-0.002710469
79.500000,0.001241710,0.000175089,-0.002646611
80.000000,0.001252367,0.000170348,-0.002587163
80.500000,0.001262860,0.000165638,-0.002528139
81.000000,0.001273352,0.000160927,-0.002469116
81.500000,0.001283845,0.000156216,-0.002410092
82.000000,0.001294338,0.000151505,-0.002351069
82.500000,0.001304831,0.000146794,-0.002292045
83.000000,0.001313968,0.000142453,-0.002241298
83.500000,0.001322417,0.000138300,-0.002194742
84.000000,0.001330867,0.000134147,-0.002148186
84.500000,0.001339316,0.000129994,-0.002101630
85.000000,0.001347766,0.000125841,-0.002055074
85.500000,0.001356215,0.000121687,-0.002008518
86.000000,0.001363829,0.000117768,-0.001965904
86.500000,0.001369985,0.000114256,-0.001930167
87.000000,0.001376142,0.000110743,-0.001894431
87.500000,0.001382298,0.000107231,-0.001858694
88.000000,0.001388454,0.000103719,-0.001822958
88.500000,0.001394610,0.000100207,-0.001787221
89.000000,0.001400704,0.000096709,-0.001751614
89.500000,0.001404440,0.000093740,-0.001720909
90.000000,0.001408176,0.000090772,-0.001690205
90.500000,0.001411912,0.000087804,-0.001659500
91.000000,0.001415649,0.000084835,-0.001628795
91.500000,0.001419385,0.000081867,-0.001598091
92.000000,0.001423121,0.000078898,-0.001567386
92.500000,0.001425166,0.000076224,-0.001540575
93.000000,0.001426331,0.000073702,-0.001515788
93.500000,0.001427496,0.000071180,-0.001491001
94.000000,0.001428661,0.000068658,-0.001466214
94.500000,0.001429826,0.000066136,-0.001441427
95.000000,0.001430991,0.000063614,-0.001416640
95.500000,0.001431473,0.000061204,-0.001393294
96.000000,0.001430096,0.000059098,-0.001373877
96.500000,0.001428718,0.000056991,-0.001354459
97.000000,0.001427341,0.000054885,-0.001335042
97.500000,0.001425963,0.000052779,-0.001315625
98.000000,0.001424586,0.000050672,-0.001296207
98.500000,0.001423208,0.000048566,-0.001276790
99.000000,0.001419672,0.000046759,-0.001261596
99.500000,0.001415792,0.000045000,-0.001247073
100.000000,0.001411913,0.000043240,-0.001232551
100.500000,0.001408033,0.000041481,-0.001218029
101.000000,0.001404153,0.000039722,-0.001203507
101.500000,0.001400274,0.000037962,-0.001188984
102.000000,0.001395294,0.000036321,-0.001176162
102.500000,0.001388946,0.000034826,-0.001165457
103.000000,0.001382597,0.000033332,-0.001154753
103.500000,0.001376248,0.000031838,-0.001144048
104.000000,0.001369899,0.000030343,-0.001133343
104.500000,0.001363551,0.000028849,-0.001122639
105.000000,0.001357154,0.000027358,-0.001111991
105.500000,0.001348337,0.000026046,-0.001104204
106.000000,0.001339519,0.000024734,-0.001096418
106.500000,0.001330702,0.000023422,-0.001088631
107.000000,0.001321885,0.000022110,-0.001080845
107.500000,0.001313068,0.000020798,-0.001073058
108.000000,0.001304250,0.000019486,-0.001065272
108.500000,0.001293952,0.000018245,-0.001058906
109.000000,0.001282613,0.000017056,-0.001053538
109.500000,0.001271274,0.000015866,-0.001048170
110.000000,0.001259934,0.000014676,-0.001042802
110.500000,0.001248595,0.000013486,-0.001037434
111.000000,0.001237256,0.000012296,-0.001032066
111.500000,0.001225521,0.000011118,-0.001026974
112.000000,0.001211562,0.000010006,-0.001023437
112.500000,0.001197602,0.000008894,-0.001019899
113.000000,0.001183643,0.000007782,-0.001016361
113.500000,0.001169683,0.000006669,-0.001012824
114.000000,0.001155724,0.000005557,-0.001009286
114.500000,0.001141764,0.000004445,-0.001005749
115.000000,0.001125839,0.000003359,-0.001003195
115.500000,0.001109117,0.000002284,-0.001001040
116.000000,0.001092394,0.000001209,-0.000998885
116.500000,0.001075672,0.000000134,-0.000996730
117.000000,0.001058950,-0.000000941,-0.000994575
117.500000,0.001042228,-0.000002017,-0.000992421
118.000000,0.001024711,-0.000003091,-0.000990546
118.500000,0.001005047,-0.000004162,-0.000989427
119.000000,0.000985383,-0.000005234,-0.000988309
119.500000,0.000965719,-0.000006305,-0.000987190
120.000000,0.000946055,-0.000007377,-0.000986072
120.500000,0.000926391,-0.000008448,-0.000984953
121.000000,0.000906727,-0.000009520,-0.000983835
121.500000,0.000884458,-0.000010609,-0.000983343
122.000000,0.000861647,-0.000011702,-0.000982982
122.500000,0.000838835,-0.000012795,-0.000982621
123.000000,0.000816023,-0.000013888,-0.000982260
123.500000,0.000793212,-0.000014980,-0.000981899
124.000000,0.000770400,-0.000016073,-0.000981538
124.500000,0.000746294,-0.000017181,-0.000981388
125.000000,0.000720109,-0.000018313,-0.000981575
125.500000,0.000693923,-0.000019445,-0.000981763
126.000000,0.000667738,-0.000020577,-0.000981950
126.500000,0.000641552,-0.000021709,-0.000982137
127.000000,0.000615367,-0.000022841,-0.000982325
127.500000,0.000589181,-0.000023973,-0.000982512
128.000000,0.000559600,-0.000025154,-0.000983067
128.500000,0.000529800,-0.000026337,-0.000983646
129.000000,0.000499999,-0.000027521,-0.000984225
129.500000,0.000470198,-0.000028705,-0.000984804
130.000000,0.000440398,-0.000029889,-0.000985383
130.500000,0.000410597,-0.000031073,-0.000985962
131.000000,0.000378885,-0.000032287,-0.000986677
131.500000,0.000345219,-0.000033532,-0.000987530
132.000000,0.000311553,-0.000034777,-0.000988384
132.500000,0.000277887,-0.000036022,-0.000989237
133.000000,0.000244221,-0.000037267,-0.000990091
133.500000,0.000210555,-0.000038512,-0.000990944
134.000000,0.000176685,-0.000039760,-0.000991807
134.500000,0.000138899,-0.000041072,-0.000992848
135.000000,0.000101112,-0.000042384,-0.000993890
135.500000,0.000063326,-0.000043696,-0.000994931
136.000000,0.000025539,-0.000045008,-0.000995972
136.500000,-0.000012247,-0.000046320,-0.000997014
137.000000,-0.000050034,-0.000047632,-0.000998055
137.500000,-0.000090467,-0.000048987,-0.000999171
138.000000,-0.000132630,-0.000050370,-0.001000336
138.500000,-0.000174794,-0.000051753,-0.001001501
139.000000,-0.000216957,-0.000053136,-0.001002665
139.500000,-0.000259121,-0.000054519,-0.001003830
140.000000,-0.000301285,-0.000055902,-0.001004995
140.500000,-0.000344188,-0.000057296,-0.001006172
141.000000,-0.000390984,-0.000058753,-0.001007413
141.500000,-0.000437781,-0.000060209,-0.001008654
142.000000,-0.000484578,-0.000061665,-0.001009896
142.500000,-0.000531375,-0.000063121,-0.001011137
143.000000,-0.000578172,-0.000064578,-0.001012378
143.500000,-0.000624968,-0.000066034,-0.001013619
144.000000,-0.000675257,-0.000067543,-0.001014890
144.500000,-0.000726941,-0.000069074,-0.001016173
145.000000,-0.000778625,-0.000070605,-0.001017457
145.500000,-0.000830308,-0.000072135,-0.001018740
146.000000,-0.000881992,-0.000073666,-0.001020023
146.500000,-0.000933676,-0.000075197,-0.001021307
147.000000,-0.000986745,-0.000076748,-0.001022595
147.500000,-0.001043565,-0.000078353,-0.001023897
148.000000,-0.001100386,-0.000079958,-0.001025199
148.500000,-0.001157206,-0.000081564,-0.001026501
149.000000,-0.001214027,-0.000083169,-0.001027804
149.500000,-0.001270847,-0.000084774,-0.001029106
150.000000,-0.001327668,-0.000086380,-0.001030408
150.500000,-0.001388929,-0.000088046,-0.001031720
151.000000,-0.001451133,-0.000089726,-0.001033033
151.500000,-0.001513337,-0.000091406,-0.001034347
152.000000,-0.001575541,-0.000093086,-0.001035661
152.500000,-0.001637745,-0.000094766,-0.001036975
153.000000,-0.001699949,-0.000096445,-0.001038288
153.500000,-0.001764292,-0.000098154,-0.001039614
154.000000,-0.001832125,-0.000099908,-0.001040959
154.500000,-0.001899957,-0.000101663,-0.001042304
155.000000,-0.001967790,-0.000103418,-0.001043649
155.500000,-0.002035623,-0.000105172,-0.001044994
156.000000,-0.002103455,-0.000106927,-0.001046339
156.500000,-0.002171288,-0.000108681,-0.001047684
157.000000,-0.002244614,-0.000110507,-0.001049050
157.500000,-0.002318321,-0.000112337,-0.001050418
158.000000,-0.002392027,-0.000114168,-0.001051785
158.500000,-0.002465733,-0.000115998,-0.001053152
159.000000,-0.002539440,-0.000117828,-0.001054520
159.500000,-0.002613146,-0.000119659,-0.001055887
160.000000,-0.002689858,-0.000121527,-0.001057276
160.500000,-0.002769689,-0.000123435,-0.001058688
161.000000,-0.002849520,-0.000125342,-0.001060099
161.500000,-0.002929351,-0.000127250,-0.001061511
162.000000,-0.003009182,-0.000129158,-0.001062922
162.500000,-0.003089013,-0.000131066,-0.001064333
163.000000,-0.003169138,-0.000132977,-0.001065749
163.500000,-0.003255352,-0.000134965,-0.001067256
164.000000,-0.003341567,-0.000136954,-0.001068763
164.500000,-0.003427781,-0.000138942,-0.001070270
165.000000,-0.003513996,-0.000140930,-0.001071777
165.500000,-0.003600210,-0.000142919,-0.001073284
166.000000,-0.003686425,-0.000144907,-0.001074791
166.500000,-0.003776645,-0.000146947,-0.001076364
167.000000,-0.003869519,-0.000149022,-0.001077980
167.500000,-0.003962393,-0.000151096,-0.001079596
